particle_id,in-halo,den_contrast for 12.4,den_contrast for 13.0,den_contrast for 13.6
12690900,0,-0.04768098128469901,-0.041957629427727336,-0.03623964940197736
11314462,0,-0.047170705023436066,-0.04129337933690736,-0.03591331152711033
3447548,1,-0.02221500662104083,-0.02543440841857958,-0.026896716910414013
3029167,0,-0.036247603805774166,-0.039826493719679806,-0.03724283620249446
8705004,1,-0.053118612693783256,-0.04574939036282486,-0.03899539145640996
7563866,1,-0.035577866212866446,-0.04350754630630732,-0.039031651220284076
3618685,0,-0.052305359902395314,-0.046109192495352384,-0.039031651220284076
3601939,1,-0.013970855775009918,-0.016010360255070875,-0.021892869495786414
7640918,0,-0.05015263192519193,-0.04537574968673866,-0.03837897547055001
7460784,0,-0.043566878928265884,-0.04536191114317987,-0.03899539145640996
5620773,0,-0.05310266656061882,-0.04623373938738119,-0.039031651220284076
8820592,1,-0.030028611871630955,-0.02676290860021975,-0.025265027536078965
5613269,0,-0.04967424793025774,-0.044185634940686086,-0.0383185425307599
8995853,0,-0.04465121598344984,-0.04372896300324735,-0.03851192793808847
2193093,0,-0.03124051799213071,-0.03586867026187731,-0.03643303480930594
4649688,0,-0.04680394396065323,-0.04204066068907988,-0.03628799575380948
2492061,0,-0.04917991780215922,-0.045707874732148594,-0.03889869875274562
14209904,0,-0.044587431450791894,-0.04364593174189481,-0.038221849827095554
14030077,0,-0.032579993177946145,-0.03667130578828478,-0.035949571290984444
7771421,0,-0.051332645779362605,-0.04545878094809109,-0.039031651220284076
10394156,0,-0.05235319830188872,-0.04599848414688237,-0.039031651220284076
3790612,1,-0.04525716904369961,-0.04343835358851358,-0.03848775476217236
14382104,1,-0.026648031640763493,-0.028063731694742227,-0.030450173770077242
3974768,1,-0.05267212096517815,-0.04617838521314613,-0.039031651220284076
3286499,0,-0.014162209372983552,-0.023580043581707247,-0.02893935027532243
2513959,0,-0.039452776571832646,-0.04020013439576612,-0.03811307053547321
4340626,1,-0.04605447570192313,-0.04051842089761737,-0.036976931267417655
5364830,1,-0.05409132681681597,-0.04623373938738119,-0.039031651220284076
4879497,0,-0.044412023985982804,-0.0433968379578373,-0.0386086206417527
6980297,0,-0.04509770771205496,-0.043756640090364826,-0.03888661216478762
10528948,0,-0.025180987389632155,-0.03153720612798851,-0.03385859157424391
2407263,1,-0.04830288047811343,-0.04212369195043231,-0.03668685315642474
2774867,1,-0.04897261807102115,-0.044891400662182335,-0.03897121828049385
11216398,1,-0.012918410986154932,-0.02416126241117458,-0.02712636208161681
11602668,1,-0.04099955148878626,-0.03885779567056726,-0.036952758091501545
5575481,0,-0.048924779671527745,-0.04424098911492115,-0.03793177171610264
7276737,1,-0.037906001654879035,-0.03826273829754103,-0.035816618823445986
12904651,1,-0.029757527607835045,-0.03737707150978103,-0.03671102633234085
2319941,1,-0.054075380683651426,-0.04623373938738119,-0.039031651220284076
6374873,0,-0.04984965539506694,-0.04603999977755864,-0.039031651220284076
2729472,0,-0.03750734832576733,-0.0376676809245148,-0.035393588244914724
14531490,1,-0.028609406019993133,-0.026320075206339694,-0.025869356933980802
12532015,1,-0.04060089815967445,-0.03961891556629857,-0.03580453223548798
12953991,1,-0.05064696205329045,-0.04545878094809109,-0.039031651220284076
2565592,1,-0.05153994551050078,-0.04508514027200489,-0.03898330486845196
2961938,1,-0.04444391625231167,-0.038138191405512334,-0.032903751125558926
5441917,1,-0.046851782360146636,-0.04345219213207237,-0.03741204843390703
8186036,0,-0.052704013231507016,-0.04613686958246986,-0.039031651220284076
8299532,1,-0.05190670657328361,-0.046012322690441164,-0.039031651220284076
2505968,0,-0.05010479352569852,-0.044586952703889876,-0.03865696699358493
2786744,1,-0.019424433317258488,-0.026541491903279722,-0.031139109283685313
11396572,1,-0.04622988316673233,-0.04461462979100735,-0.03897121828049385
6698088,1,-0.05310266656061882,-0.04623373938738119,-0.039031651220284076
11121924,1,-0.03283513130857773,-0.04062912924608738,-0.0376054338412356
13538020,0,-0.04964235566392887,-0.04573555181926618,-0.039031651220284076
13191761,0,-0.04830288047811343,-0.04482220794438859,-0.038221849827095554
14380016,1,-0.0406646826923324,-0.04093357720437984,-0.03781090583652229
3564198,0,-0.03635922673792553,-0.03986800935035607,-0.03784716560039641
9055059,0,-0.034652990489327254,-0.03557806084714354,-0.03530898212920838
2225891,0,-0.05153994551050078,-0.04551413512232615,-0.038644880405626816
8080827,1,-0.049562624998106486,-0.04605383832111743,-0.039031651220284076
5201038,1,-0.04528906131002859,-0.04263571806210611,-0.037895511952228525
7698784,1,-0.0522575215029019,-0.045721713275707385,-0.03899539145640996
10448315,1,-0.03377595316528136,-0.03188316971695723,-0.03298835724126516
5425353,1,-0.045974745036100745,-0.04364593174189481,-0.03865696699358493
5463122,1,-0.043710394126746106,-0.040850545943027304,-0.03714614349883023
13146938,0,-0.048111526880139796,-0.04403341096153991,-0.03756917407736149
8581922,0,-0.05351726602289496,-0.04623373938738119,-0.039031651220284076
14595589,0,-0.04863774927456729,-0.04426866620203863,-0.03842732182238224
11394336,1,-0.04835071887760684,-0.043493707762748635,-0.03814933029934733
10544552,1,-0.048111526880139796,-0.043590577567659855,-0.03871739993337505
7915407,0,-0.05348537375656609,-0.04623373938738119,-0.039031651220284076
13552591,0,-0.049706140196586715,-0.045417265317414926,-0.039007478044367966
14623550,1,-0.03146376385643332,-0.03564725356493728,-0.03657807386480239
6663086,1,-0.05380429641985552,-0.04623373938738119,-0.039031651220284076
12932426,0,-0.05409132681681597,-0.04623373938738119,-0.039031651220284076
8976699,1,-0.044172831988515654,-0.04180540544858105,-0.03870531334541705
5125671,0,-0.04946694819911967,-0.04472533813947737,-0.03848775476217236
4851006,1,-0.04404526292319997,-0.042594202431429834,-0.03876574628520727
11166939,1,-0.053262127892263485,-0.04623373938738119,-0.039031651220284076
8019274,0,-0.04744178928723197,-0.044780692313712324,-0.039031651220284076
12955046,0,-0.05268806709834258,-0.0459569685162061,-0.039031651220284076
11877719,1,-0.05409132681681597,-0.04623373938738119,-0.039031651220284076
14330811,1,-0.0455123071743312,-0.04335532232716115,-0.037206576438620347
7640062,0,-0.054075380683651426,-0.04623373938738119,-0.039031651220284076
10962407,1,-0.026520462575447594,-0.028921721395384757,-0.03152588009834257
12105656,1,-0.038145193652346074,-0.04133489496758363,-0.037774646072648174
10135278,1,-0.04375823252623952,-0.038719410234979774,-0.034535440499893974
3535888,1,-0.05310266656061882,-0.04623373938738119,-0.039031651220284076
5854185,1,-0.03317000010503159,-0.03271348233048228,-0.030438087182119135
12924900,1,-0.03750734832576733,-0.040366196918471084,-0.03781090583652229
10835004,0,-0.01878658799067985,-0.028271309848123465,-0.03190056432504172
12532285,1,-0.025691263650895108,-0.029378393332823497,-0.028637185576371512
2180723,0,-0.04393363999104861,-0.04058761361541111,-0.03713405691087212
7977596,0,-0.053086720427454284,-0.04623373938738119,-0.039031651220284076
14100078,0,-0.0520821140380927,-0.046012322690441164,-0.039031651220284076
9059173,1,-0.03184647105238059,-0.03305944591945101,-0.033906937926076026
10671697,0,-0.04482662344825894,-0.04310622854310364,-0.037532914313487376
2995765,0,-0.0496104633975999,-0.04554181220944363,-0.03898330486845196
5303514,0,-0.05142832257834942,-0.04581858308061861,-0.039031651220284076
8319808,0,-0.05351726602289496,-0.04623373938738119,-0.039031651220284076
11117355,1,-0.04538473810901541,-0.04292632747683988,-0.03846358158625635
6865508,0,-0.045719606905469265,-0.04342451504495489,-0.03816141688730533
13554803,1,-0.039133853908543216,-0.04274642641057612,-0.03840314864646613
9889495,1,-0.04194037334548989,-0.04352138484986611,-0.038693226757459044
4099321,0,-0.04616609863407448,-0.04350754630630732,-0.03889869875274562
4038028,0,-0.05409132681681597,-0.04623373938738119,-0.039031651220284076
11082311,1,-0.02927914361290096,-0.035107550366146004,-0.03646929457318005
7900003,1,-0.020157955442824154,-0.02096455884910339,-0.01991066907066822
10149277,1,-0.047122866623942654,-0.04504362464132862,-0.03895913169253585
5204876,0,-0.0460863679682521,-0.041943790884168546,-0.03778673266060618
10959542,0,-0.051460214844678394,-0.04603999977755864,-0.039031651220284076
7724051,0,-0.05334185855808587,-0.04623373938738119,-0.039031651220284076
11578694,1,-0.05409132681681597,-0.04623373938738119,-0.039031651220284076
2708235,1,-0.03953250723765503,-0.038830118583449785,-0.03754500090144538
14257157,1,-0.03648679580324121,-0.03902385819327234,-0.0376054338412356
12256195,0,-0.04351904052877248,-0.041971467971286126,-0.03814933029934733
13212181,0,-0.05377240415352654,-0.04623373938738119,-0.039031651220284076
7032002,1,-0.05158778390999419,-0.04581858308061861,-0.039031651220284076
11700841,0,-0.0429130874685226,-0.042870973302604816,-0.03865696699358493
6925485,0,-0.04299281813434498,-0.04240046282160739,-0.0385723608778787
7677190,1,-0.04803179621431741,-0.04433785891983237,-0.03899539145640996
5306235,1,-0.05404348841732256,-0.04623373938738119,-0.039031651220284076
7230761,1,-0.05409132681681597,-0.04623373938738119,-0.039031651220284076
11971240,1,-0.04154172001637819,-0.04248349408295982,-0.03817350347526344
11967430,1,-0.05401159615099359,-0.04623373938738119,-0.039031651220284076
9589634,1,-0.026137755379500326,-0.03279651359183471,-0.033568513463250994
11422399,0,-0.05389997321884234,-0.04623373938738119,-0.039031651220284076
5929972,0,-0.05235319830188872,-0.04616454666958734,-0.039031651220284076
9095722,0,-0.05134859191252714,-0.046012322690441164,-0.039031651220284076
4753417,1,-0.04613420636774551,-0.04274642641057612,-0.03804055100772498
3344944,1,-0.05351726602289496,-0.04623373938738119,-0.039031651220284076
4258656,1,-0.05377240415352654,-0.046219900843822395,-0.039031651220284076
8956483,1,-0.03565759687868883,-0.0386917331478623,-0.035949571290984444
6472625,0,-0.04866964154089616,-0.04594312997264741,-0.039031651220284076
2511716,0,-0.03154349452225559,-0.03402814396856355,-0.034257448976859166
9829457,0,-0.051109399915060104,-0.04584626016773609,-0.039031651220284076
12762333,0,-0.05348537375656609,-0.04623373938738119,-0.039031651220284076
5921584,0,-0.03328162303718284,-0.03624231093796351,-0.03690441173966943
2431908,0,-0.05364483508821075,-0.046219900843822395,-0.039031651220284076
8297434,0,-0.05332591242492132,-0.04623373938738119,-0.039031651220284076
13840959,0,-0.03132024865795309,-0.03445713881888471,-0.035478194360620954
14273256,0,-0.051811029774296684,-0.04616454666958734,-0.039031651220284076
4863443,1,-0.04528906131002859,-0.0425111711700773,-0.038391062058508126
2552848,1,-0.048717479940389566,-0.04451775998609613,-0.03810098394751521
13800084,0,-0.0494828943322841,-0.04576322890638366,-0.03901956463232607
3709222,1,-0.027748314829111782,-0.03459552425447231,-0.03540567483287273
10894405,0,-0.05279969003049383,-0.04623373938738119,-0.039031651220284076
10937759,1,-0.04217956534295693,-0.04151479603384739,-0.03843940841034024
7660819,1,-0.04235497280776613,-0.039065373823948604,-0.03511559672187981
2135811,0,-0.04951478659861308,-0.04555565075300242,-0.039031651220284076
10544631,1,-0.051077507648731126,-0.04586009871129488,-0.039031651220284076
13747710,1,-0.04707502822444925,-0.04371512445968866,-0.038475668174214356
4664636,0,-0.03297864650705796,-0.03174478428136974,-0.029833757784217294
10442051,0,-0.014241940038805936,-0.02431348639032097,-0.026896716910414013
3097459,1,-0.0468358362269822,-0.04332764524004356,-0.03870531334541705
11225647,1,-0.04509770771205496,-0.04413028076645113,-0.03899539145640996
7673899,1,-0.05409132681681597,-0.04623373938738119,-0.039031651220284076
9470838,1,-0.039452776571832646,-0.042262077386019795,-0.03871739993337505
10032351,1,-0.047665035151534585,-0.04451775998609613,-0.039007478044367966
12728159,1,-0.049562624998106486,-0.04332764524004356,-0.036807719036005083
14191546,1,-0.05307077429428985,-0.045887775798412356,-0.039031651220284076
9902658,1,-0.037124641129820064,-0.038511832081598536,-0.037279095966368574
5969832,0,-0.04144604321739137,-0.03928679052088853,-0.036529727512970275
8869009,1,-0.03305837717288023,-0.03445713881888471,-0.03393111110199214
12518135,0,-0.03664625713488598,-0.03959123847918109,-0.0368439787998792
3192785,1,-0.02615370151266476,-0.03431875338329722,-0.03607043717056479
13855149,0,-0.05091804631708647,-0.04597080705976489,-0.039031651220284076
5968943,1,-0.04919586393532365,-0.04518201007691611,-0.03882617922499739
6513829,1,-0.03977169923512207,-0.040449228179823625,-0.036674766568466736
14291472,0,-0.02363421247267865,-0.02825747130456467,-0.028274587937630366
4418167,0,-0.05332591242492132,-0.046109192495352384,-0.039031651220284076
4564263,1,-0.05409132681681597,-0.04623373938738119,-0.039031651220284076
3266191,0,-0.04052116749385217,-0.03876092586565604,-0.03663850680459262
5341902,0,-0.04358282506143032,-0.04334148378360235,-0.038137243711389324
6419084,1,-0.05257644416619133,-0.046206062300263605,-0.039031651220284076
8562779,1,-0.033967306763255,-0.03404198251212224,-0.034064063569530484
3218245,0,-0.04742584315406754,-0.04370128591612987,-0.038137243711389324
13556658,0,-0.047665035151534585,-0.04428250474559742,-0.03841523523442413
